/home/datadons/.local/lib/python3.8/site-packages/gensim/similarities/__init__.py:15: UserWarning: The gensim.similarities.levenshtein submodule is disabled, because the optional Levenshtein package <https://pypi.org/project/python-Levenshtein/> is unavailable. Install Levenhstein (e.g. `pip install python-Levenshtein`) to suppress this warning.
  warnings.warn(msg)
Vector rep. of file: sets_wrapper/wrapper/withpattern/_make.py 1 in  0.0 min and 6.3662097454071045 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/layer_model_helper.py 1 in  0.0 min and 2.2574198246002197 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/function.py 1 in  0.0 min and 1.0370357036590576 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/client.py 1 in We are using cuda:0 device
Entering the neural network
/home/datadons/.local/lib/python3.8/site-packages/torch/utils/data/dataloader.py:474: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 6, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
data:  vector_representation/common.py.txt
data:  vector_representation/abstract_outliers_bounds.py.txt
data:  vector_representation/apt.py.txt
data:  vector_representation/metadata.py.txt
data:  vector_representation/nanops.py.txt
data:  vector_representation/freeze.py.txt
data:  vector_representation/creator-profiler.py.txt
data:  vector_representation/dask_cudf.py.txt
data:  vector_representation/_helpers.py.txt
data:  vector_representation/blink_detection.py.txt
data:  vector_representation/load.py.txt
data:  vector_representation/_io.py.txt
data:  vector_representation/templatetags.py.txt
data:  vector_representation/bsdinit.py.txt
data:  vector_representation/async_matrix.py.txt
data:  vector_representation/resource_protector.py.txt
data:  vector_representation/_argon2.py.txt
data:  vector_representation/_io_kqueue.py.txt
data:  vector_representation/batch_sampler_test.py.txt
data:  vector_representation/TrainerBase.py.txt
data:  vector_representation/symbolic_helper.py.txt
data:  vector_representation/encoding.py.txt
data:  vector_representation/utils.py.txt
data:  vector_representation/build.py.txt
data:  vector_representation/postgresql_privs.py.txt
data:  vector_representation/_write_concurrent.py.txt
data:  vector_representation/web.py.txt
data:  vector_representation/hooks.py.txt
data:  vector_representation/crypto_scalarmult.py.txt
data:  vector_representation/training_utils_v1_test.py.txt
data:  vector_representation/parser_utils.py.txt
data:  vector_representation/udf.py.txt
data:  vector_representation/client.py.txt
data:  vector_representation/type1font.py.txt
data:  vector_representation/test_task_queue_manager_callbacks.py.txt
data:  vector_representation/authorization_code.py.txt
data:  vector_representation/test_torch.py.txt
data:  vector_representation/_highlevel_open_unix_stream.py.txt
data:  vector_representation/support.py.txt
data:  vector_representation/nikola.py.txt
data:  vector_representation/tf_utils.py.txt
data:  vector_representation/attrs.py.txt
data:  vector_representation/distancecluster.py.txt
data:  vector_representation/brew.py.txt
data:  vector_representation/craft_utils.py.txt
data:  vector_representation/conv_blocks.py.txt
data:  vector_representation/_loop.py.txt
data:  vector_representation/napalm.py.txt
data:  vector_representation/check_colors.py.txt
data:  vector_representation/_parking_lot.py.txt
data:  vector_representation/cloud.py.txt
data:  vector_representation/async_utils.py.txt
data:  vector_representation/pattern_utils.py.txt
data:  vector_representation/layer_utils.py.txt
data:  vector_representation/responses.py.txt
data:  vector_representation/junos.py.txt
data:  vector_representation/adfly.py.txt
data:  vector_representation/philips_hue.py.txt
data:  vector_representation/subtypes.py.txt
data:  vector_representation/_internal.py.txt
data:  vector_representation/timeout.py.txt
data:  vector_representation/creator.py.txt
data:  vector_representation/ext.py.txt
data:  vector_representation/__metadata__.py.txt
data:  vector_representation/pipeline.py.txt
data:  vector_representation/cloudwatch.py.txt
data:  vector_representation/converters.py.txt
data:  vector_representation/composition.py.txt
data:  vector_representation/metrics_utils.py.txt
data:  vector_representation/apply.py.txt
data:  vector_representation/codecs.py.txt
data:  vector_representation/craft.py.txt
data:  vector_representation/crash.py.txt
data:  vector_representation/network_cli.py.txt
data:  vector_representation/lfu_cache.py.txt
data:  vector_representation/argondriver.py.txt
data:  vector_representation/vsphere.py.txt
data:  vector_representation/preprocessing_stage.py.txt
data:  vector_representation/misc.py.txt
data:  vector_representation/test_torch_failure.py.txt
data:  vector_representation/brew.py.txt
data:  vector_representation/_write_dataset.py.txt
data:  vector_representation/binhex.py.txt
data:  vector_representation/errors.py.txt
data:  vector_representation/container_resource.py.txt
data:  vector_representation/build_directory_md.py.txt
data:  vector_representation/axisgrid.py.txt
data:  vector_representation/exception_handler.py.txt
data:  vector_representation/rewrite.py.txt
data:  vector_representation/connections.py.txt
data:  vector_representation/deconstruct.py.txt
data:  vector_representation/_databases.py.txt
data:  vector_representation/rcmod.py.txt
data:  vector_representation/node_provider.py.txt
data:  vector_representation/bucket_batch_sampler.py.txt
data:  vector_representation/conftest.py.txt
data:  vector_representation/overrides.py.txt
data:  vector_representation/retry.py.txt
data:  vector_representation/pytesseract.py.txt
data:  vector_representation/dataframe.py.txt
data:  vector_representation/crypto_secretstream.py.txt
data:  vector_representation/deprecation.py.txt
data:  vector_representation/_next_gen.py.txt
data:  vector_representation/jit_metaprogramming_utils.py.txt
data:  vector_representation/clitoolbar.py.txt
data:  vector_representation/typeshed.py.txt
data:  vector_representation/asyncsupport.py.txt
data:  vector_representation/bigarray.py.txt
data:  vector_representation/beatport.py.txt
data:  vector_representation/ansible.py.txt
data:  vector_representation/example.py.txt
data:  vector_representation/bar.py.txt
data:  vector_representation/junkdrawer.py.txt
data:  vector_representation/binder.py.txt
data:  vector_representation/dist_utils.py.txt
data:  vector_representation/authorization.py.txt
data:  vector_representation/vbox_guest.py.txt
data:  vector_representation/cache.py.txt
data:  vector_representation/binary_search_tree_recursive.py.txt
data:  vector_representation/_multierror.py.txt
data:  vector_representation/_write_excel.py.txt
data:  vector_representation/compilelock.py.txt
data:  vector_representation/worker_test.py.txt
data:  vector_representation/quantization.py.txt
data:  vector_representation/_wait.py.txt
data:  vector_representation/crypto_pwhash.py.txt
data:  vector_representation/zcbuildout.py.txt
data:  vector_representation/_logic.py.txt
data:  vector_representation/creator-ext.py.txt
data:  vector_representation/_write_parquet.py.txt
data:  vector_representation/crypto_hash.py.txt
data:  vector_representation/lru_cache.py.txt
data:  vector_representation/grad_mode.py.txt
